ダウンロードした時刻：2019/02/08 01:04:44

,東京,東京,東京
年月日,C,最低気温(℃),最低気温(℃)
,,,
,,品質情報,均質番号
2009/1/1,1.6,8,1
2009/1/2,3.1,8,1
2009/1/3,2.0,8,1
2009/1/4,4.3,8,1
2009/1/5,5.6,8,1
2009/1/6,5.6,8,1
2009/1/7,5.1,8,1
2009/1/8,3.8,8,1
2009/1/9,2.8,8,1
2009/1/10,2.8,8,1
2009/1/11,2.0,8,1
2009/1/12,0.6,8,1
2009/1/13,0.0,8,1
2009/1/14,1.1,8,1
2009/1/15,2.2,8,1
2009/1/16,0.3,8,1
2009/1/17,0.8,8,1
2009/1/18,3.2,8,1
2009/1/19,4.5,8,1
2009/1/20,5.6,8,1
2009/1/21,5.1,8,1
2009/1/22,4.5,8,1
2009/1/23,6.7,8,1
2009/1/24,3.9,8,1
2009/1/25,1.9,8,1
2009/1/26,1.1,8,1
2009/1/27,4.2,8,1
2009/1/28,4.3,8,1
2009/1/29,7.0,8,1
2009/1/30,8.3,8,1
2009/1/31,5.7,8,1
2010/1/1,0.2,8,1
2010/1/2,0.9,8,1
2010/1/3,1.4,8,1
2010/1/4,3.7,8,1
2010/1/5,3.0,8,1
2010/1/6,3.7,8,1
2010/1/7,1.5,8,1
2010/1/8,4.6,8,1
2010/1/9,4.0,8,1
2010/1/10,2.8,8,1
2010/1/11,4.3,8,1
2010/1/12,3.1,8,1
2010/1/13,2.8,8,1
2010/1/14,0.1,8,1
2010/1/15,-0.3,8,1
2010/1/16,1.9,8,1
2010/1/17,1.4,8,1
2010/1/18,1.8,8,1
2010/1/19,1.7,8,1
2010/1/20,4.5,8,1
2010/1/21,6.6,8,1
2010/1/22,3.8,8,1
2010/1/23,2.6,8,1
2010/1/24,2.0,8,1
2010/1/25,2.5,8,1
2010/1/26,4.3,8,1
2010/1/27,1.5,8,1
2010/1/28,5.4,8,1
2010/1/29,6.5,8,1
2010/1/30,4.5,8,1
2010/1/31,5.2,8,1
2011/1/1,2.2,8,1
2011/1/2,4.1,8,1
2011/1/3,3.1,8,1
2011/1/4,3.3,8,1
2011/1/5,2.8,8,1
2011/1/6,3.1,8,1
2011/1/7,1.8,8,1
2011/1/8,1.0,8,1
2011/1/9,0.6,8,1
2011/1/10,1.4,8,1
2011/1/11,0.5,8,1
2011/1/12,1.9,8,1
2011/1/13,2.4,8,1
2011/1/14,0.0,8,1
2011/1/15,0.2,8,1
2011/1/16,-1.1,8,1
2011/1/17,-0.2,8,1
2011/1/18,0.1,8,1
2011/1/19,1.7,8,1
2011/1/20,2.2,8,1
2011/1/21,2.3,8,1
2011/1/22,2.6,8,1
2011/1/23,2.4,8,1
2011/1/24,2.5,8,1
2011/1/25,2.9,8,1
2011/1/26,1.4,8,1
2011/1/27,0.9,8,1
2011/1/28,0.4,8,1
2011/1/29,1.4,8,1
2011/1/30,0.6,8,1
2011/1/31,-1.0,8,1
2012/1/1,2.9,8,1
2012/1/2,3.0,8,1
2012/1/3,3.8,8,1
2012/1/4,2.0,8,1
2012/1/5,1.9,8,1
2012/1/6,2.9,8,1
2012/1/7,3.1,8,1
2012/1/8,2.6,8,1
2012/1/9,2.8,8,1
2012/1/10,2.5,8,1
2012/1/11,2.1,8,1
2012/1/12,0.7,8,1
2012/1/13,0.0,8,1
2012/1/14,2.5,8,1
2012/1/15,2.3,8,1
2012/1/16,3.0,8,1
2012/1/17,2.7,8,1
2012/1/18,1.5,8,1
2012/1/19,2.5,8,1
2012/1/20,1.9,8,1
2012/1/21,2.7,8,1
2012/1/22,3.2,8,1
2012/1/23,0.6,8,1
2012/1/24,0.8,8,1
2012/1/25,-0.1,8,1
2012/1/26,0.5,8,1
2012/1/27,-1.0,8,1
2012/1/28,-0.1,8,1
2012/1/29,1.0,8,1
2012/1/30,1.2,8,1
2012/1/31,0.2,8,1
2013/1/1,3.0,8,1
2013/1/2,4.2,8,1
2013/1/3,1.8,8,1
2013/1/4,1.0,8,1
2013/1/5,0.2,8,1
2013/1/6,-1.4,8,1
2013/1/7,2.1,8,1
2013/1/8,2.6,8,1
2013/1/9,4.4,8,1
2013/1/10,2.9,8,1
2013/1/11,2.6,8,1
2013/1/12,1.2,8,1
2013/1/13,1.1,8,1
2013/1/14,0.7,8,1
2013/1/15,0.8,8,1
2013/1/16,1.8,8,1
2013/1/17,-0.2,8,1
2013/1/18,0.3,8,1
2013/1/19,-0.3,8,1
2013/1/20,1.8,8,1
2013/1/21,2.7,8,1
2013/1/22,3.5,8,1
2013/1/23,3.9,8,1
2013/1/24,2.5,8,1
2013/1/25,2.8,8,1
2013/1/26,0.9,8,1
2013/1/27,0.8,8,1
2013/1/28,1.4,8,1
2013/1/29,2.1,8,1
2013/1/30,3.9,8,1
2013/1/31,2.1,8,1
2014/1/1,3.1,8,1
2014/1/2,3.1,8,1
2014/1/3,3.8,8,1
2014/1/4,2.4,8,1
2014/1/5,3.9,8,1
2014/1/6,2.1,8,1
2014/1/7,1.9,8,1
2014/1/8,2.8,8,1
2014/1/9,3.0,8,1
2014/1/10,1.4,8,1
2014/1/11,0.7,8,1
2014/1/12,1.4,8,1
2014/1/13,2.4,8,1
2014/1/14,1.7,8,1
2014/1/15,1.8,8,1
2014/1/16,-0.2,8,1
2014/1/17,2.9,8,1
2014/1/18,2.8,8,1
2014/1/19,2.0,8,1
2014/1/20,0.7,8,1
2014/1/21,1.8,8,1
2014/1/22,2.1,8,1
2014/1/23,2.8,8,1
2014/1/24,2.4,8,1
2014/1/25,3.0,8,1
2014/1/26,2.4,8,1
2014/1/27,1.4,8,1
2014/1/28,1.1,8,1
2014/1/29,4.9,8,1
2014/1/30,5.1,8,1
2014/1/31,6.2,8,1
2015/1/1,0.7,8,2
2015/1/2,-2.2,8,2
2015/1/3,-1.1,8,2
2015/1/4,-0.4,8,2
2015/1/5,1.3,8,2
2015/1/6,5.8,8,2
2015/1/7,3.0,8,2
2015/1/8,2.0,8,2
2015/1/9,3.5,8,2
2015/1/10,1.9,8,2
2015/1/11,0.2,8,2
2015/1/12,2.0,8,2
2015/1/13,2.5,8,2
2015/1/14,1.2,8,2
2015/1/15,3.4,8,2
2015/1/16,4.9,8,2
2015/1/17,1.3,8,2
2015/1/18,-0.5,8,2
2015/1/19,-0.7,8,2
2015/1/20,2.7,8,2
2015/1/21,1.5,8,2
2015/1/22,3.2,8,2
2015/1/23,3.7,8,2
2015/1/24,2.9,8,2
2015/1/25,0.9,8,2
2015/1/26,5.6,8,2
2015/1/27,5.8,8,2
2015/1/28,1.4,8,2
2015/1/29,-0.9,8,2
2015/1/30,0.4,8,2
2015/1/31,0.8,8,2
2016/1/1,3.6,8,2
2016/1/2,2.6,8,2
2016/1/3,3.0,8,2
2016/1/4,4.4,8,2
2016/1/5,5.1,8,2
2016/1/6,7.1,8,2
2016/1/7,4.5,8,2
2016/1/8,3.1,8,2
2016/1/9,2.8,8,2
2016/1/10,2.4,8,2
2016/1/11,3.8,8,2
2016/1/12,0.9,8,2
2016/1/13,-0.9,8,2
2016/1/14,0.2,8,2
2016/1/15,2.0,8,2
2016/1/16,1.8,8,2
2016/1/17,2.3,8,2
2016/1/18,0.2,8,2
2016/1/19,0.9,8,2
2016/1/20,-0.7,8,2
2016/1/21,1.0,8,2
2016/1/22,3.0,8,2
2016/1/23,2.6,8,2
2016/1/24,-1.2,8,2
2016/1/25,-2.6,8,2
2016/1/26,-1.3,8,2
2016/1/27,-1.1,8,2
2016/1/28,2.1,8,2
2016/1/29,2.6,8,2
2016/1/30,1.5,8,2
2016/1/31,1.3,8,2
2017/1/1,2.0,8,2
2017/1/2,3.8,8,2
2017/1/3,3.5,8,2
2017/1/4,3.6,8,2
2017/1/5,3.7,8,2
2017/1/6,1.5,8,2
2017/1/7,0.1,8,2
2017/1/8,1.6,8,2
2017/1/9,3.8,8,2
2017/1/10,3.5,8,2
2017/1/11,3.9,8,2
2017/1/12,0.7,8,2
2017/1/13,1.4,8,2
2017/1/14,-1.3,8,2
2017/1/15,-2.3,8,2
2017/1/16,-2.0,8,2
2017/1/17,0.7,8,2
2017/1/18,1.1,8,2
2017/1/19,2.4,8,2
2017/1/20,2.2,8,2
2017/1/21,1.2,8,2
2017/1/22,0.9,8,2
2017/1/23,0.2,8,2
2017/1/24,-1.9,8,2
2017/1/25,-1.2,8,2
2017/1/26,-1.4,8,2
2017/1/27,1.4,8,2
2017/1/28,4.6,8,2
2017/1/29,4.8,8,2
2017/1/30,6.7,8,2
2017/1/31,2.8,8,2
2018/1/1,0.4,8,2
2018/1/2,0.8,8,2
2018/1/3,2.3,8,2
2018/1/4,0.0,8,2
2018/1/5,0.8,8,2
2018/1/6,-1.4,8,2
2018/1/7,1.2,8,2
2018/1/8,3.2,8,2
2018/1/9,3.3,8,2
2018/1/10,3.3,8,2
2018/1/11,0.8,8,2
2018/1/12,-1.6,8,2
2018/1/13,-0.8,8,2
2018/1/14,0.4,8,2
2018/1/15,-1.1,8,2
2018/1/16,1.4,8,2
2018/1/17,4.4,8,2
2018/1/18,3.0,8,2
2018/1/19,6.0,8,2
2018/1/20,4.3,8,2
2018/1/21,2.3,8,2
2018/1/22,-0.5,8,2
2018/1/23,-0.7,8,2
2018/1/24,-1.8,8,2
2018/1/25,-4.0,8,2
2018/1/26,-3.1,8,2
2018/1/27,-1.8,8,2
2018/1/28,-0.8,8,2
2018/1/29,-1.9,8,2
2018/1/30,0.8,8,2
2018/1/31,-1.0,8,2
2019/1/1,0.9,8,2
2019/1/2,2.2,8,2
2019/1/3,-0.3,8,2
2019/1/4,0.2,8,2
2019/1/5,0.9,8,2
2019/1/6,2.4,8,2
2019/1/7,0.4,8,2
2019/1/8,0.7,8,2
2019/1/9,1.0,8,2
2019/1/10,-1.2,8,2
2019/1/11,-0.2,8,2
2019/1/12,2.7,8,2
2019/1/13,3.9,8,2
2019/1/14,1.3,8,2
2019/1/15,0.4,8,2
2019/1/16,1.8,8,2
2019/1/17,2.0,8,2
2019/1/18,2.8,8,2
2019/1/19,1.9,8,2
2019/1/20,1.8,8,2
2019/1/21,2.5,8,2
2019/1/22,-0.2,8,2
2019/1/23,1.7,8,2
2019/1/24,3.4,8,2
2019/1/25,2.8,8,2
2019/1/26,1.5,8,2
2019/1/27,1.1,8,2
2019/1/28,0.0,8,2
2019/1/29,3.0,8,2
2019/1/30,0.2,8,2
2019/1/31,1.7,8,2
