ダウンロードした時刻：2019/02/10 00:14:09

,東京,東京,東京,東京,東京,東京
年月日,C_low,最低気温(℃),最低気温(℃),C_high,最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2019/1/1,0.9,8,1,10.7,8,1
2019/1/2,2.2,8,1,10.9,8,1
2019/1/3,-0.3,8,1,10.9,8,1
2019/1/4,0.2,8,1,9.8,8,1
2019/1/5,0.9,8,1,14.0,8,1
2019/1/6,2.4,8,1,8.0,8,1
2019/1/7,0.4,8,1,10.6,8,1
2019/1/8,0.7,8,1,9.8,8,1
2019/1/9,1.0,8,1,8.0,8,1
2019/1/10,-1.2,8,1,5.2,8,1
2019/1/11,-0.2,8,1,12.2,8,1
2019/1/12,2.7,8,1,6.2,8,1
2019/1/13,3.9,8,1,10.1,8,1
2019/1/14,1.3,8,1,9.8,8,1
2019/1/15,0.4,8,1,10.5,8,1
2019/1/16,1.8,8,1,11.3,8,1
2019/1/17,2.0,8,1,11.6,8,1
2019/1/18,2.8,8,1,10.0,8,1
2019/1/19,1.9,8,1,11.7,8,1
2019/1/20,1.8,8,1,12.0,8,1
2019/1/21,2.5,8,1,10.5,8,1
2019/1/22,-0.2,8,1,10.6,8,1
2019/1/23,1.7,8,1,11.2,8,1
2019/1/24,3.4,8,1,10.2,8,1
2019/1/25,2.8,8,1,10.0,8,1
2019/1/26,1.5,8,1,9.9,8,1
2019/1/27,1.1,8,1,9.7,8,1
2019/1/28,0.0,8,1,13.2,8,1
2019/1/29,3.0,8,1,9.9,8,1
2019/1/30,0.2,8,1,10.0,8,1
2019/1/31,1.7,8,1,11.2,8,1
